"","USP33","USP39","FBXO22","DDIT4"
"TCGA-Z5-AAPL-01A-12R-A41B-07",33.717,49.2213,6.8696,142.0054
"TCGA-IB-7649-01A-11R-2156-07",26.0292,30.1927,4.5509,62.7361
"TCGA-2L-AAQI-01A-12R-A39D-07",21.9614,42.9736,7.7175,360.4391
"TCGA-IB-A5SP-01A-11R-A32O-07",21.1567,40.906,5.742,97.3639
"TCGA-IB-7888-01A-11R-2156-07",29.5648,30.9028,5.5,105.4699
"TCGA-IB-AAUQ-01A-22R-A41I-07",23.161,37.1048,6.175,856.9144
"TCGA-2J-AABR-01A-11R-A41B-07",28.0368,31.4433,5.9828,379.2197
"TCGA-IB-7891-01A-11R-2204-07",27.3326,32.8777,5.5233,61.8271
"TCGA-M8-A5N4-01A-11R-A26U-07",25.9949,31.4198,3.6111,166.7292
"TCGA-HV-AA8X-01A-11R-A39D-07",25.6097,34.477,6.2907,135.0334
"TCGA-3A-A9IR-01A-11R-A38C-07",56.8512,43.7297,8.8716,38.2147
"TCGA-HZ-8001-01A-11R-2204-07",16.4385,39.6702,5.7159,40.9169
"TCGA-HZ-8003-01A-21R-2204-07",17.9182,18.35,4.6977,51.3836
"TCGA-IB-A6UF-01A-23R-A33R-07",25.5472,40.1026,8.5218,751.2161
"TCGA-HZ-A9TJ-01A-11R-A41I-07",22.7703,34.8393,5.378,78.3732
"TCGA-FB-AAQ3-01A-11R-A41B-07",16.758,31.9889,6.1543,54.5003
"TCGA-F2-A7TX-01A-33R-A38C-07",27.5478,42.0288,11.1229,314.4219
"TCGA-IB-7885-01A-11R-2156-07",25.5547,37.6151,6.932,106.8779
"TCGA-H6-A45N-01A-11R-A26U-07",29.4834,38.6097,5.7551,511.8296
"TCGA-2L-AAQE-01A-11R-A39D-07",27.1423,59.1216,9.5295,252.314
"TCGA-IB-AAUP-01A-11R-A37L-07",25.1161,43.6542,6.668,238.3186
"TCGA-3A-A9I7-01A-21R-A38C-07",23.3519,33.56,5.6138,32.6231
"TCGA-FB-AAPY-01A-11R-A41B-07",16.3065,29.1447,4.1382,130.7654
"TCGA-2L-AAQM-01A-11R-A39D-07",15.6703,18.6013,2.4156,47.3664
"TCGA-HZ-7922-01A-11R-2156-07",36.71,45.3057,7.8579,112.2718
"TCGA-HZ-A77P-01A-11R-A33R-07",24.1701,37.057,5.3944,87.6044
"TCGA-FB-AAPZ-01A-11R-A41B-07",25.0976,43.6239,4.9262,205.0864
"TCGA-3A-A9I9-01A-11R-A38C-07",16.3428,23.4956,5.8418,79.2816
"TCGA-IB-AAUU-01A-11R-A37L-07",27.1055,48.8951,9.1023,420.8263
"TCGA-3A-A9IZ-01A-12R-A41B-07",26.3121,36.802,9.002,791.5211
"TCGA-FB-AAQ2-01A-31R-A41B-07",22.2643,51.8861,7.4975,191.1916
"TCGA-IB-8126-01A-11R-2404-07",14.4646,13.5966,3.987,57.8836
"TCGA-HV-A7OL-01A-11R-A33R-07",12.7156,31.0569,4.096,61.1765
"TCGA-HZ-7289-01A-11R-2156-07",12.3029,34.5271,3.6025,73.1107
"TCGA-2L-AAQJ-01A-12R-A39D-07",14.3521,33.4288,5.1785,154.8536
"TCGA-HZ-8638-01A-11R-2404-07",34.7213,33.0892,6.765,91.6839
"TCGA-IB-7890-01A-12R-2204-07",30.717,46.6179,6.1364,103.8717
"TCGA-HZ-7923-01A-12R-2156-07",34.9739,38.7196,6.4633,142.1389
"TCGA-3A-A9I5-01A-11R-A38C-07",10.7328,33.7174,6.7799,68.1863
"TCGA-IB-A5SQ-01A-11R-A32O-07",27.8997,39.688,8.2214,161.8868
"TCGA-XD-AAUG-01A-61R-A41B-07",26.2061,36.6211,5.3752,192.9884
"TCGA-FB-A545-01A-11R-A26U-07",27.5372,40.2659,4.7155,407.0697
"TCGA-RB-A7B8-01A-12R-A33R-07",17.3667,23.8485,6.9384,191.1337
"TCGA-HV-A5A6-01A-11R-A26U-07",28.0182,40.0047,4.5129,32.1226
