"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-AA-A00R-01A-01R-A002-07",22.4742,55.0326,7.759,51.9838,11.1328
"TCGA-AA-A00L-01A-01R-A002-07",17.5367,55.3174,7.0089,132.2471,23.2735
"TCGA-F4-6855-01A-11R-1928-07",23.6714,56.4692,6.681,55.1867,33.8043
"TCGA-AA-3715-01A-01R-0905-07",8.4655,47.6503,12.6843,351.046,3.0098
"TCGA-AA-A01R-01A-21R-A083-07",8.7132,55.5926,6.3454,45.6649,1.0202
"TCGA-AA-3831-01A-01R-0905-07",24.8493,57.1653,10.5894,61.383,63.2362
"TCGA-AA-A01K-01A-01R-A00A-07",14.1917,56.6579,6.1111,77.9442,22.864
"TCGA-AA-3519-01A-02R-0821-07",17.2039,56.6417,6.2716,151.5768,24.3917
"TCGA-G4-6315-01A-11R-1723-07",23.8746,77.6319,9.2032,82.3812,44.343
"TCGA-A6-A567-01A-31R-A28H-07",36.239,59.2593,6.5712,14.6822,46.7
"TCGA-A6-6650-01A-11R-1774-07",33.9607,61.9979,7.6486,22.3761,62.3948
"TCGA-CA-5797-01A-01R-1653-07",38.5121,62.776,11.8208,43.644,46.009
"TCGA-A6-6780-01A-11R-1839-07",21.8752,61.4698,8.4855,115.7176,3.6431
"TCGA-CA-6717-01A-11R-1839-07",30.9852,62.296,11.1667,71.6561,76.9322
"TCGA-AD-6901-01A-11R-1928-07",23.803,61.9736,5.5848,68.2657,18.3003
"TCGA-AZ-4315-01A-01R-1410-07",23.2447,79.8542,13.4445,230.9049,15.0575
"TCGA-4T-AA8H-01A-11R-A41B-07",18.9681,32.0881,5.7128,31.7037,6.3786
"TCGA-AA-A00J-01A-02R-A002-07",19.2481,65.2384,6.3454,39.7181,15.767
"TCGA-A6-6781-01A-22R-A278-07",44.5276,34.8204,8.7655,95.2359,21.7629
"TCGA-AD-6548-01A-11R-1839-07",28.8811,58.0829,8.8594,156.6048,28.6739
"TCGA-AA-3685-01A-02R-A32Z-07",25.0159,77.3395,9.23,46.673,27.8673
"TCGA-G4-6588-01A-11R-1774-07",30.7032,60.1507,11.0023,81.4045,10.9152
"TCGA-SS-A7HO-01A-21R-A37K-07",31.6309,79.1597,14.5013,87.5203,72.2866
"TCGA-A6-6649-01A-11R-1774-07",33.704,60.2076,9.6036,78.6824,105.7675
"TCGA-D5-6927-01A-21R-1928-07",30.0693,63.9472,14.7574,294.8521,12.0912
"TCGA-D5-6530-01A-11R-1723-07",25.3901,40.2458,6.1254,60.5808,6.5432
"TCGA-AM-5821-01A-01R-1653-07",39.2036,78.7846,14.8253,223.7008,7.6002
"TCGA-AA-A01P-01A-21R-A083-07",24.9117,45.5002,7.1901,51.51,25.2897
"TCGA-D5-6529-01A-11R-1774-07",18.2863,42.8773,4.882,92.6554,18.611
"TCGA-A6-A56B-01A-31R-A28H-07",17.655,60.1059,5.8804,14.0532,35.7211
"TCGA-CM-5341-01A-01R-1410-07",23.4367,66.863,10.3271,100.2288,42.428
"TCGA-DM-A0XD-01A-12R-A155-07",13.2629,36.53,6.0428,53.3647,4.7412
"TCGA-AA-3502-01A-01R-1410-07",24.2624,60.4497,5.2977,36.8513,10.6328
"TCGA-CM-4748-01A-01R-1410-07",18.7898,77.6264,5.2278,48.7608,22.1974
"TCGA-CM-5868-01A-01R-1653-07",27.7676,53.446,6.2542,35.0298,28.0949
"TCGA-G4-6626-01A-11R-1774-07",14.2999,83.5861,7.1842,45.3103,18.1398
"TCGA-AA-3858-01A-01R-0905-07",19.9986,75.2971,7.2979,38.0341,34.1076
"TCGA-5M-AAT5-01A-21R-A41B-07",14.5587,63.5359,11.6386,148.1233,23.1178
"TCGA-AU-3779-01A-01R-1723-07",23.1857,56.2871,8.011,39.3493,34.6321
"TCGA-AA-3697-01A-01R-1723-07",32.6705,71.0384,8.2836,76.4378,40.0718
"TCGA-DM-A1HA-01A-11R-A155-07",17.6018,80.7001,7.6207,102.0045,4.2951
"TCGA-AA-3855-01A-01R-1022-07",16.3898,48.2785,9.3089,32.512,29.2672
"TCGA-AA-3509-01A-01R-1410-07",19.2086,76.4987,16.169,60.9414,59.8924
"TCGA-AY-6196-01A-11R-1723-07",21.8324,31.6795,6.4422,56.3133,35.6902
"TCGA-AA-3506-01A-01R-1410-07",10.9261,51.9232,9.6174,253.2611,14.6118
"TCGA-AA-A00D-01A-01R-A002-07",24.0925,57.3334,3.3446,48.8016,26.5375
"TCGA-AA-3852-01A-01R-0905-07",14.5088,46.0836,6.4442,94.1615,16.4725
"TCGA-AA-3562-01A-02R-0821-07",26.2584,79.9864,8.374,35.6323,33.3061
"TCGA-A6-6137-01A-11R-1774-07",31.5809,48.4344,7.8961,100.3813,41.4946
"TCGA-AA-A010-01A-01R-A089-07",19.4902,63.1725,6.5805,77.1029,24.5107
"TCGA-AA-3973-01A-01R-1022-07",17.4283,58.456,5.0795,23.7908,31.0033
"TCGA-A6-6648-01A-11R-1774-07",36.2989,82.9358,11.1678,16.2,57.7045
"TCGA-A6-2683-01A-01R-0821-07",2.4552,33.8551,5.3386,224.1944,3.802
"TCGA-AA-3930-01A-01R-1022-07",21.1442,104.3315,16.5226,111.3119,18.6343
"TCGA-A6-2677-01A-01R-A278-07",35.1266,31.914,4.887,16.5913,16.2058
"TCGA-AA-3979-01A-01R-1022-07",39.9535,84.323,7.6937,35.1312,22.6038
"TCGA-AA-3860-01A-02R-0905-07",17.0565,74.2113,10.3047,121.7274,33.673
"TCGA-AA-A00F-01A-01R-A002-07",12.5673,44.3161,4.4593,42.8901,15.6106
"TCGA-A6-5665-01A-01R-1653-07",32.228,74.1748,13.4879,95.8981,7.5044
"TCGA-AZ-6603-01A-11R-1839-07",30.1869,51.5327,7.0532,49.779,64.4186
"TCGA-AA-3819-01A-01R-0905-07",26.1778,58.5234,10.0092,49.5027,19.3629
"TCGA-AD-6964-01A-11R-1928-07",25.3969,56.97,7.6275,24.2564,24.918
"TCGA-AA-3984-01A-02R-1022-07",30.7613,64.6572,9.1305,171.8424,28.1422
"TCGA-AA-3552-01A-01R-0821-07",23.3205,49.9631,4.1984,44.0274,49.3446
"TCGA-AA-3862-01A-01R-1022-07",21.0022,61.8937,7.3498,37.5593,22.5999
"TCGA-G4-6322-01A-11R-1723-07",25.8103,58.9169,4.4163,106.2942,61.0965
"TCGA-AZ-6598-01A-11R-1774-07",21.2497,53.2618,6.4527,95.3891,5.4273
"TCGA-AA-3850-01A-01R-1022-07",19.6939,35.1444,7.919,44.704,32.4498
"TCGA-AA-3950-01A-02R-1022-07",35.7805,70.9932,16.9202,156.2549,21.1056
"TCGA-AA-3713-01A-21R-1723-07",37.1995,63.8865,10.0523,47.464,20.6112
"TCGA-D5-5537-01A-21R-1928-07",26.3209,56.3601,14.1387,73.739,25.1108
"TCGA-AA-3553-01A-01R-0821-07",29.8635,64.0222,8.6937,65.8941,39.8659
"TCGA-CM-5863-01A-21R-1839-07",21.3762,35.9899,7.1326,110.8653,48.8389
"TCGA-G4-6311-01A-11R-1723-07",24.4683,67.0124,6.2835,65.8494,14.1088
"TCGA-CM-6167-01A-11R-1653-07",34.4839,50.8816,12.7694,44.8972,361.4484
"TCGA-CM-4751-01A-02R-1839-07",29.0384,54.2952,4.7697,68.4686,51.7726
"TCGA-CK-6751-01A-11R-1839-07",20.7808,55.7906,8.975,116.2078,34.9565
"TCGA-AA-3561-01A-01R-0821-07",28.1484,62.28,11.2228,74.4091,39.7826
"TCGA-A6-2682-01A-01R-1410-07",17.6674,49.7394,8.6987,192.8737,19.8956
"TCGA-AZ-6599-01A-11R-1774-07",30.4832,40.0006,6.9369,66.9246,22.1798
"TCGA-AA-3845-01A-01R-1022-07",52.9348,62.3167,14.2861,110.4579,20.0353
"TCGA-AA-3555-01A-01R-0821-07",49.4958,79.6822,12.6868,143.8028,26.0689
"TCGA-A6-2685-01A-01R-1410-07",11.8602,44.2041,6.4553,139.3333,45.2977
"TCGA-AY-6386-01A-21R-1723-07",25.2934,50.0976,8.4862,215.6507,32.7089
"TCGA-AA-3712-01A-21R-1723-07",21.061,70.9546,9.5551,154.0583,22.0397
"TCGA-AA-3517-01A-01R-0821-07",13.4273,53.7418,6.3824,122.4152,29.9091
"TCGA-A6-6650-01A-11R-A278-07",67.3753,64.8433,12.4827,23.0365,39.4386
"TCGA-A6-3810-01A-01R-1022-07",24.4601,70.1303,6.4417,54.075,32.0138
"TCGA-AA-3511-01A-21R-1839-07",27.9948,39.3691,4.9208,39.94,38.9517
"TCGA-CK-5916-01A-11R-1653-07",42.1793,61.9518,10.8061,97.2301,22.479
"TCGA-DM-A28M-01A-12R-A16W-07",22.0321,44.7045,6.6257,141.7248,6.4448
"TCGA-A6-6781-01A-22R-1928-07",25.5067,46.9569,7.5578,217.1473,38.9236
"TCGA-A6-6651-01A-21R-1839-07",20.7123,41.9041,5.2784,65.7136,133.05
"TCGA-AA-3667-01A-01R-0905-07",6.0047,38.7012,8.1997,83.7242,4.6866
"TCGA-A6-5666-01A-01R-1653-07",36.3687,74.4242,13.0007,44.7709,21.8445
"TCGA-AA-3982-01A-02R-1022-07",26.1347,58.9649,6.2675,82.3083,56.4073
"TCGA-DM-A1D7-01A-11R-A155-07",22.8485,49.1145,8.1219,86.0285,38.9628
"TCGA-D5-6541-01A-11R-1723-07",21.0416,40.3107,5.6787,25.035,13.4245
"TCGA-DM-A0X9-01A-11R-A155-07",22.3938,40.7865,9.4425,25.197,18.8786
"TCGA-AA-3877-01A-01R-1022-07",34.7333,57.097,9.1891,82.343,30.838
"TCGA-AA-3989-01A-01R-1022-07",15.8771,49.9195,11.3756,105.3121,29.1808
"TCGA-A6-5660-01A-01R-1653-07",23.5862,76.7344,6.4709,28.3163,26.1819
"TCGA-D5-6920-01A-11R-1928-07",26.5417,53.7435,9.9916,72.956,29.2852
"TCGA-AA-A01X-01A-21R-A083-07",6.5798,55.0532,5.9843,31.6335,12.5106
"TCGA-AA-3864-01A-01R-1022-07",31.7952,85.8559,14.9532,125.4904,30.8808
"TCGA-CM-5860-01A-01R-1653-07",41.0115,75.0018,11.1068,124.3425,42.8965
"TCGA-AA-3696-01A-01R-0905-07",35.0433,42.5492,10.3337,94.2393,26.1013
"TCGA-D5-6531-01A-11R-1723-07",15.4934,56.2306,10.815,58.7458,15.4069
"TCGA-A6-6652-01A-11R-1774-07",28.4279,78.2253,7.4236,30.3561,25.7873
"TCGA-AA-3844-01A-01R-1022-07",27.2274,51.5257,10.6713,48.617,38.0075
"TCGA-DM-A28K-01A-21R-A32Y-07",19.3085,44.6551,8.05,22.5615,14.9746
"TCGA-CK-5914-01A-11R-1653-07",41.3922,96.2032,12.9486,84.9216,25.4859
"TCGA-AA-3672-01A-01R-0905-07",7.6342,46.1249,9.2192,162.029,1.8351
"TCGA-CM-6169-01A-11R-1653-07",34.5762,52.031,10.2437,85.6109,95.2181
"TCGA-AZ-5403-01A-01R-1653-07",26.2508,78.773,9.8869,28.1318,82.6549
"TCGA-AY-A8YK-01A-11R-A41B-07",22.1802,45.6144,4.4089,77.2087,22.664
"TCGA-AA-3496-01A-21R-1839-07",25.2475,70.3631,6.4163,37.3449,51.9296
"TCGA-AA-3970-01A-01R-1022-07",33.6842,48.6621,8.7074,66.5422,59.5066
"TCGA-5M-AATA-01A-31R-A41B-07",22.794,55.323,7.6711,97.7276,75.8884
"TCGA-AD-6895-01A-11R-1928-07",36.6345,63.7911,11.9484,152.1568,20.5965
"TCGA-AA-3986-01A-02R-1022-07",22.4603,41.2111,6.2348,49.0643,20.5059
"TCGA-AA-3972-01A-01R-1022-07",32.3085,66.3321,7.5086,26.9653,37.1294
"TCGA-F4-6854-01A-11R-1928-07",35.2179,72.2817,5.9364,104.0139,85.675
"TCGA-CA-5256-01A-01R-1410-07",21.0411,74.0028,12.7688,61.7055,36.8763
"TCGA-AA-3833-01A-01R-0905-07",21.1651,53.4411,7.5181,99.3028,17.7056
"TCGA-AA-3663-01A-01R-1723-07",33.8444,61.0999,11.7133,109.4168,21.1002
"TCGA-CM-4747-01A-01R-1410-07",6.5886,44.4017,3.7781,108.4488,4.9666
"TCGA-AA-3556-01A-01R-0821-07",54.8529,75.4196,8.7067,36.3066,52.2784
"TCGA-AY-A54L-01A-11R-A28H-07",42.3624,56.8895,6.8756,57.6182,15.7833
"TCGA-A6-2676-01A-01R-0826-07",32.4794,85.3646,13.3069,190.3446,9.8289
"TCGA-CM-4752-01A-01R-1410-07",25.8021,60.0373,6.0474,52.9402,31.073
"TCGA-A6-6654-01A-21R-1839-07",22.141,64.3908,6.767,83.8089,32.3591
"TCGA-DM-A28A-01A-21R-A32Y-07",17.224,82.2636,13.7951,182.7659,13.8855
"TCGA-CK-4952-01A-01R-1723-07",33.9772,66.6257,8.1093,70.0592,30.7366
"TCGA-AA-3530-01A-01R-1022-07",36.0114,46.9298,13.1058,62.1632,27.5697
"TCGA-AA-A017-01A-01R-A00A-07",18.8706,39.378,2.8686,37.864,12.7195
"TCGA-F4-6808-01A-11R-1839-07",11.8137,62.7672,8.4317,17.7504,16.4138
"TCGA-A6-A566-01A-11R-A28H-07",25.8275,42.2579,8.7038,71.203,78.4071
"TCGA-AA-A01I-01A-02R-A089-07",24.9473,63.6549,7.785,56.0161,22.1342
"TCGA-A6-2672-01A-01R-0826-07",30.8005,50.9125,8.2232,283.121,21.3198
"TCGA-AY-4071-01A-01R-1113-07",18.7349,34.7529,3.8865,71.4334,17.4245
"TCGA-AA-3492-01A-01R-1410-07",27.0083,123.399,9.8337,51.2381,12.542
"TCGA-AA-A02H-01A-01R-A089-07",22.4228,53.5108,6.9713,94.4016,25.5469
"TCGA-CM-4744-01A-01R-A32Z-07",24.7789,51.0543,10.9848,65.1413,8.5033
"TCGA-AA-3525-01A-02R-0826-07",24.9766,47.4482,7.7251,84.3969,10.6423
"TCGA-G4-6295-01A-11R-1723-07",28.916,143.4633,8.4969,40.7503,38.5294
"TCGA-DM-A28C-01A-11R-A32Y-07",20.9256,37.2213,6.8979,42.9749,13.4341
"TCGA-D5-6926-01A-11R-1928-07",29.8473,68.4975,8.2187,68.7734,33.653
"TCGA-NH-A8F7-01A-11R-A41B-07",28.2764,60.963,8.304,35.817,17.3796
"TCGA-CK-5913-01A-11R-1653-07",36.5434,59.4965,9.4144,61.452,18.8693
"TCGA-A6-6780-01A-11R-A278-07",81.6013,72.0262,24.7289,22.112,6.6685
"TCGA-G4-6310-01A-11R-1723-07",28.4453,70.1046,6.9142,23.4003,251.9466
"TCGA-AA-3488-01A-01R-1410-07",8.6745,73.7769,7.03,148.2322,22.5519
"TCGA-A6-3810-01A-01R-A278-07",32.374,44.6157,5.6134,32.4766,19.4132
"TCGA-DM-A1DB-01A-11R-A155-07",16.6821,75.4033,18.9197,34.3809,12.9197
"TCGA-A6-6653-01A-11R-1774-07",34.3354,61.5846,11.373,165.9655,27.9627
"TCGA-F4-6569-01A-11R-1774-07",24.7443,51.7171,9.7461,76.2544,38.964
"TCGA-AA-A01Z-01A-11R-A083-07",11.3298,51.8604,3.3655,103.6377,9.0986
"TCGA-AA-3994-01A-01R-1113-07",23.3736,57.8315,9.111,124.8006,24.3445
"TCGA-F4-6805-01A-11R-1839-07",34.0027,61.7158,9.6112,71.5581,61.985
"TCGA-D5-6924-01A-11R-1928-07",27.7293,67.5971,9.3914,97.3346,68.8805
"TCGA-D5-6922-01A-11R-1928-07",52.1986,76.0934,9.0403,36.881,68.675
"TCGA-AA-A00E-01A-01R-A002-07",23.8403,73.2479,7.9558,253.5176,5.9448
"TCGA-D5-6532-01A-11R-1723-07",33.7708,69.4325,9.2743,60.2165,22.7161
"TCGA-AA-3710-01A-01R-1022-07",37.375,62.893,9.0398,83.0994,18.507
"TCGA-AA-A02R-01A-01R-A00A-07",30.5955,67.7402,10.2298,91.6144,4.4431
"TCGA-CA-5796-01A-01R-1653-07",37.9935,45.1743,7.5398,27.4871,54.5717
"TCGA-AA-3543-01A-01R-0826-07",30.6596,46.897,8.1905,66.0653,9.0419
"TCGA-AA-A01S-01A-21R-A083-07",7.8162,32.9293,6.3747,165.0607,2.7459
"TCGA-F4-6704-01A-11R-1839-07",16.8255,59.9063,6.0151,91.9442,108.6427
