"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-BG-A0M2-01A-11R-A104-07",22.2892,45.0303,4.4455,439.2585,49.8719
"TCGA-D1-A1O0-01A-11R-A17B-07",21.7947,69.077,8.6114,25.5533,10.1238
"TCGA-B5-A11W-01A-12R-A118-07",22.3058,36.3175,6.4486,200.0589,50.1728
"TCGA-AX-A2H4-01A-21R-A18M-07",14.8227,18.1028,4.6357,19.975,12.3708
"TCGA-A5-A0G1-01A-11R-A118-07",25.274,45.595,7.8951,79.7493,32.1129
"TCGA-AJ-A2QO-01A-11R-A32Y-07",26.7998,45.5494,8.7859,176.3424,20.2621
"TCGA-BS-A0UJ-01A-12R-A104-07",13.1037,25.1221,2.6308,10.7311,5.6145
"TCGA-5S-A9Q8-01A-11R-A40A-07",17.236,32.7285,4.186,25.4291,39.6853
"TCGA-D1-A163-01A-11R-A12I-07",26.5609,59.5066,6.925,167.2686,33.4825
"TCGA-A5-A3LO-01A-11R-A22K-07",33.6568,84.4764,9.8485,86.7783,14.8633
"TCGA-D1-A0ZU-01A-11R-A10J-07",27.9357,56.9886,8.9195,124.0123,73.7639
"TCGA-AX-A064-01A-11R-A00V-07",14.8544,29.1824,4.0282,48.0113,19.2471
"TCGA-EY-A214-01A-12R-A157-07",22.4628,56.9607,3.6686,63.2422,60.0588
"TCGA-BS-A0TA-01A-11R-A104-07",20.2317,38.6919,7.014,78.3006,15.6001
"TCGA-AP-A1E0-01A-11R-A137-07",27.8698,110.7327,12.7299,174.5702,47.1901
"TCGA-EO-A3B0-01A-12R-A19W-07",29.6461,93.9658,13.594,148.4185,28.9592
"TCGA-SL-A6J9-01A-11R-A31O-07",19.2081,37.5118,6.4886,126.1656,3.8442
"TCGA-BS-A0UA-01A-11R-A118-07",17.557,46.7731,5.5608,182.0744,39.8987
"TCGA-EY-A1GV-01A-11R-A13S-07",22.7616,22.6372,5.299,318.244,19.4576
"TCGA-AP-A0LH-01A-11R-A16W-07",23.1125,48.575,8.3071,110.0721,14.0531
"TCGA-EY-A547-01A-11R-A27V-07",15.3847,51.7623,4.3873,7.716,3.7737
"TCGA-D1-A15Z-01A-11R-A118-07",32.1032,51.0681,7.1242,83.1849,89.3852
"TCGA-B5-A11M-01A-11R-A118-07",35.7467,47.4527,7.4981,114.3349,92.1507
"TCGA-D1-A1NS-01A-11R-A14D-07",19.586,32.2508,4.7882,207.9641,14.5572
"TCGA-BS-A0VI-01A-11R-A14D-07",9.013,31.9951,4.1414,65.7,53.2214
"TCGA-AP-A1DH-01A-31R-A137-07",16.8384,43.0691,4.6208,87.7884,5.7631
"TCGA-AP-A1DP-01A-11R-A137-07",27.4755,44.0297,8.4811,131.0972,37.4723
"TCGA-D1-A0ZR-01A-21R-A10J-07",37.4937,55.2943,9.8549,68.8269,12.5946
"TCGA-AX-A2H8-01A-11R-A17B-07",28.6,60.2867,5.7621,164.8107,20.8751
"TCGA-D1-A15V-01A-11R-A118-07",50.9284,88.42,10.3216,196.5987,38.1912
"TCGA-AX-A0IW-01A-11R-A040-07",15.7779,83.7572,5.0317,14.2479,22.6873
"TCGA-D1-A17A-01A-11R-A12I-07",17.4656,30.1928,8.8777,45.7345,31.8914
"TCGA-BG-A0LX-01A-11R-A16W-07",24.9933,48.3244,6.4889,95.1053,69.2411
"TCGA-AP-A0LE-01A-11R-A104-07",13.2156,39.8319,4.017,21.1054,24.8226
"TCGA-D1-A17F-01A-11R-A12I-07",13.5013,22.3941,3.5227,44.8134,9.9003
"TCGA-AX-A3G8-01A-11R-A22K-07",9.5749,39.2689,4.4762,14.6845,9.8625
"TCGA-AX-A1CR-01A-12R-A137-07",16.422,23.2917,1.953,25.4116,8.3206
"TCGA-D1-A17H-01A-11R-A12I-07",14.057,39.2843,4.4646,84.7772,27.4503
"TCGA-FI-A2CX-01A-11R-A17B-07",15.0969,32.0736,3.9334,22.9042,36.1267
"TCGA-AJ-A3BF-01A-11R-A213-07",29.233,79.3864,5.6391,65.9611,42.6228
"TCGA-EY-A2ON-01A-21R-A18M-07",70.4656,40.5858,5.2416,72.4643,38.3821
"TCGA-AX-A2HF-01A-11R-A17B-07",24.8119,90.4304,3.902,101.463,3.2459
"TCGA-JU-AAVI-01A-11R-A40A-07",20.252,34.2405,3.636,7.9664,24.8847
"TCGA-BG-A0MS-01A-11R-A104-07",21.9237,49.5326,8.1847,142.8511,88.505
"TCGA-AJ-A3NH-01A-11R-A22K-07",33.871,85.5112,5.5017,27.4919,26.3941
"TCGA-KP-A3W1-01A-11R-A22K-07",33.6498,22.6376,3.9505,29.3823,12.5417
"TCGA-FI-A2D0-01A-11R-A17B-07",31.8457,78.0463,6.877,144.9123,24.9497
"TCGA-A5-A0GR-01A-11R-A118-07",7.1365,17.0895,2.7125,9.7513,12.4265
"TCGA-B5-A11F-01A-11R-A10J-07",20.8328,52.4272,7.4787,64.1295,32.5025
"TCGA-D1-A3JQ-01A-11R-A22K-07",41.2444,80.3556,7.11,138.9987,44.4965
"TCGA-KP-A3W0-01A-21R-A22K-07",26.1354,68.6158,4.8303,14.8406,34.9874
"TCGA-AJ-A3EK-01A-11R-A19W-07",38.9491,63.9819,13.067,166.108,40.4356
"TCGA-B5-A121-01A-31R-A118-07",42.1538,52.1672,8.235,90.2565,18.8048
"TCGA-B5-A11J-01A-11R-A118-07",25.2214,46.6638,9.0118,135.8285,14.7279
"TCGA-AX-A3FW-01A-11R-A22K-07",23.697,40.2671,7.6923,19.8328,11.9171
"TCGA-BG-A0YU-01A-21R-A10J-07",25.6583,34.5565,6.8874,62.4593,38.1864
"TCGA-EY-A1GH-01A-11R-A13S-07",58.1398,87.8051,11.1703,181.0178,18.0984
"TCGA-AP-A059-01A-21R-A118-07",27.7179,63.7068,8.6072,69.8205,38.6786
"TCGA-A5-A0GG-01A-11R-A118-07",22.605,52.8228,8.1092,313.3616,56.8191
"TCGA-AJ-A8CW-01A-11R-A37O-07",28.9202,53.4067,9.776,18.1647,33.3058
"TCGA-SJ-A6ZJ-01A-12R-A34R-07",15.6201,39.9757,6.1817,64.4872,25.1104
"TCGA-EO-A22U-01A-11R-A180-07",29.1679,64.6952,12.9306,30.4434,19.4937
"TCGA-EY-A1GL-01A-11R-A13S-07",15.5843,41.9142,6.0836,43.2024,16.1329
"TCGA-A5-A1OH-01A-21R-A22K-07",25.1895,76.8953,7.9496,21.6642,37.3956
"TCGA-BG-A0RY-01A-11R-A104-07",18.2161,53.377,6.4187,238.1521,36.0372
"TCGA-AP-A0LV-01A-11R-A040-07",24.6961,54.9125,8.2796,82.8556,36.1491
"TCGA-AX-A3FS-01A-11R-A22K-07",35.8124,85.2995,19.6625,208.9489,33.9118
"TCGA-EY-A549-01A-11R-A27V-07",31.6275,45.7103,7.6061,231.308,19.2607
"TCGA-BS-A0TI-01A-11R-A104-07",13.7589,62.9698,2.4898,78.6577,35.5459
"TCGA-EY-A1GX-01A-12R-A13S-07",22.3576,41.8853,7.4071,367.4882,9.3724
"TCGA-EO-A3B1-01A-12R-A19W-07",30.6921,78.3326,5.6532,165.3882,91.4936
"TCGA-FI-A2EU-01A-11R-A17B-07",29.5066,62.008,4.8767,235.0502,9.4874
"TCGA-AJ-A5DW-01A-11R-A27V-07",60.0933,80.0498,11.5482,312.0976,28.0133
"TCGA-EY-A1GI-01A-11R-A13S-07",58.7235,76.8123,10.808,317.7505,26.3589
"TCGA-EC-A24G-01A-11R-A16F-07",27.8236,45.1668,7.3997,320.6107,49.5942
"TCGA-D1-A165-01A-11R-A12I-07",29.3708,50.0172,7.7615,456.2032,26.3395
"TCGA-AX-A1C8-01A-11R-A137-07",13.4368,42.8069,7.1073,81.6494,26.1638
"TCGA-4E-A92E-01A-11R-A37O-07",41.8561,49.6129,11.1638,87.801,76.9005
"TCGA-EO-A22S-01A-11R-A18M-07",28.1516,92.6395,17.0507,291.9023,23.0073
"TCGA-B5-A0K8-01A-11R-A14M-07",24.5004,64.9076,2.6986,25.1077,16.9997
"TCGA-EY-A210-01A-11R-A157-07",16.0502,62.7236,12.1919,16.7345,9.0372
"TCGA-AX-A3FZ-01A-11R-A22K-07",38.8971,86.2341,6.3927,25.399,22.64
"TCGA-EY-A1H0-01A-11R-A13S-07",23.4186,51.5244,7.5745,105.7426,11.9279
"TCGA-AX-A06J-01A-11R-A00V-07",7.5109,31.2888,7.1083,1088.8682,1.0275
"TCGA-BG-A220-01A-11R-A157-07",31.8992,69.5108,10.7563,132.5638,39.059
"TCGA-AP-A0LL-01A-12R-A104-07",5.652,13.0292,1.1744,10.0381,26.0422
"TCGA-D1-A16N-01A-11R-A12I-07",13.6935,84.8904,7.5613,91.35,8.3937
"TCGA-D1-A102-01A-11R-A10J-07",39.4866,42.7062,12,31.3859,49.0023
"TCGA-AP-A1DQ-01A-11R-A137-07",26.4121,75.184,4.6393,58.9974,25.8293
"TCGA-A5-A1OG-01A-11R-A14D-07",41.0132,56.9772,5.7574,17.6201,10.9962
"TCGA-AX-A3G7-01A-12R-A213-07",19.5698,34.1231,5.5273,33.8607,30.0405
"TCGA-D1-A3DH-01A-11R-A19W-07",23.4236,87.9992,6.081,19.0429,8.8073
"TCGA-EO-A3AZ-01A-12R-A19W-07",3.9085,18.9432,1.9154,4.2176,2.0212
"TCGA-AJ-A3BH-01A-11R-A19W-07",45.7429,68.7354,11.9398,95.0209,25.5717
"TCGA-A5-A0GD-01A-11R-A16W-07",23.0571,39.4586,8.2907,73.1906,13.7755
"TCGA-AP-A05H-01A-11R-A00V-07",4.9625,70.3252,3.0257,252.8848,1.3258
"TCGA-EO-A3KX-01A-11R-A22K-07",40.601,73.0308,12.1873,127.5861,26.2386
