,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-G4-6588-01A-11R-1774-07,30.7032,60.1507,11.0023,81.4045,10.9152,0.13581911
TCGA-SS-A7HO-01A-21R-A37K-07,31.6309,79.1597,14.5013,87.5203,72.2866,0.3257511
TCGA-A6-6649-01A-11R-1774-07,33.704,60.2076,9.6036,78.6824,105.7675,0.40559906
TCGA-D5-6927-01A-21R-1928-07,30.0693,63.9472,14.7574,294.8521,12.0912,0.26367438
TCGA-D5-6530-01A-11R-1723-07,25.3901,40.2458,6.1254,60.5808,6.5432,0.05549055
TCGA-AM-5821-01A-01R-1653-07,39.2036,78.7846,14.8253,223.7008,7.6002,0.22825255
TCGA-AA-A01P-01A-21R-A083-07,24.9117,45.5002,7.1901,51.51,25.2897,0.41204046
TCGA-D5-6529-01A-11R-1774-07,18.2863,42.8773,4.882,92.6554,18.611,0.1636653
TCGA-A6-A56B-01A-31R-A28H-07,17.655,60.1059,5.8804,14.0532,35.7211,0.1592467
TCGA-DM-A0XD-01A-12R-A155-07,13.2629,36.53,6.0428,53.3647,4.7412,0.11941562
TCGA-AA-3502-01A-01R-1410-07,24.2624,60.4497,5.2977,36.8513,10.6328,0.01946548
TCGA-CM-5868-01A-01R-1653-07,27.7676,53.446,6.2542,35.0298,28.0949,0.18450733
TCGA-G4-6626-01A-11R-1774-07,14.2999,83.5861,7.1842,45.3103,18.1398,0.13469013
TCGA-5M-AAT5-01A-21R-A41B-07,14.5587,63.5359,11.6386,148.1233,23.1178,0.07841492
TCGA-AU-3779-01A-01R-1723-07,23.1857,56.2871,8.011,39.3493,34.6321,0.11399209
TCGA-AA-3697-01A-01R-1723-07,32.6705,71.0384,8.2836,76.4378,40.0718,0.17692971
TCGA-DM-A1HA-01A-11R-A155-07,17.6018,80.7001,7.6207,102.0045,4.2951,0.06070848
TCGA-AA-3509-01A-01R-1410-07,19.2086,76.4987,16.169,60.9414,59.8924,0.17221374
TCGA-AY-6196-01A-11R-1723-07,21.8324,31.6795,6.4422,56.3133,35.6902,0.81949496
TCGA-AA-3506-01A-01R-1410-07,10.9261,51.9232,9.6174,253.2611,14.6118,0.12150318
TCGA-A6-6137-01A-11R-1774-07,31.5809,48.4344,7.8961,100.3813,41.4946,0.29683597
TCGA-A6-6648-01A-11R-1774-07,36.2989,82.9358,11.1678,16.2,57.7045,0.21144562
TCGA-A6-5665-01A-01R-1653-07,32.228,74.1748,13.4879,95.8981,7.5044,0.04922012
TCGA-AZ-6603-01A-11R-1839-07,30.1869,51.5327,7.0532,49.779,64.4186,0.2440273
