,USP33,USP39,FBXO22,DDIT4,RGS5,EI
TCGA-EY-A54A,60.1396,53.3681,7.9623,126.5097,72.4042,0.60673367
TCGA-A5-A2K3,6.779,15.844,2.4812,32.7731,8.8556,0.30653363
TCGA-EO-A3KU,50.6783,78.1897,30.245,339.8957,10.1238,0.21605762
TCGA-2E-A9G8,24.8771,46.18,8.87,54.0934,8.6175,0.16263229
TCGA-E6-A2P9,38.4812,54.5992,8.9116,94.5548,27.3184,0.39383137
TCGA-BS-A0V7,5.4033,17.0678,2.2909,2.9862,9.7313,0.62149681
TCGA-EY-A1GO,20.1476,93.1318,4.0705,6.7584,12.7865,0.12170991
TCGA-AX-A3G4,31.213,49.3402,7.0221,61.9621,104.956,0.66666645
TCGA-FI-A3PX,36.5098,101.2305,10.5879,23.2623,17.5423,0.58730485
TCGA-KJ-A3U4,56.6511,62.7173,15.651,51.3683,31.7889,0.19730057
TCGA-AX-A05W,6.1714,19.1022,2.9053,31.102,8.6819,0.1516966
TCGA-EO-A3L0,21.964,54.8036,5.3668,36.5164,23.8542,0.29411298
TCGA-QF-A5YS,24.3999,54.9346,7.2776,47.3467,7.2117,0.07333271
TCGA-FI-A3PV,33.1827,65.234,9.1566,40.3018,15.2694,0.28626867
TCGA-D1-A3JP,31.6337,59.4563,6.8276,44.491,29.4515,0.60426872
TCGA-BG-A0MK,32.5294,34.8421,7.8532,44.9306,40.0817,0.23904748
TCGA-EY-A3QX,29.2568,76.8308,9.359,163.7579,21.1902,0.26120153
TCGA-AX-A3FT,25.483,39.4632,7.2341,66.7026,97.6831,0.27783652
TCGA-AX-A3G6,26.0644,85.6888,6.2774,30.9113,14.6988,0.15169951
TCGA-DF-A2KZ,11.6238,30.9148,5.6822,35.7907,27.2964,0.36069169
TCGA-A5-A7WJ,35.8372,76.1363,12.6441,49.0076,57.8406,0.42311209
TCGA-B5-A5OD,23.4134,56.6365,5.7702,6.4839,20.0511,0.21673634
TCGA-PG-A7D5,36.5119,113.6767,7.2952,51.6917,29.3861,0.26063483
TCGA-DI-A1C3,17.8592,24.6678,3.5086,10.72,29.4244,0.37885865
