"","USP33","USP39","FBXO22","DDIT4","RGS5"
"TCGA-AG-4022-01A-01R-1736-07",35.3639,51.4166,7.4433,116.917,51.8469
"TCGA-AH-6897-01A-11R-1928-07",29.4346,94.1866,11.9294,211.8602,47.6085
"TCGA-AG-3896-01A-01R-1119-07",16.2125,57.3385,5.669,31.9414,36.5761
"TCGA-EI-6513-01A-21R-1736-07",40.4235,64.9693,11.6076,32.6481,15.3607
"TCGA-EI-6917-01A-11R-1928-07",34.6609,61.8832,10.964,271.2484,16.1664
"TCGA-AH-6903-01A-11R-1928-07",31.6194,48.1349,12.824,42.0406,30.6953
"TCGA-AG-A025-01A-01R-A00A-07",14.8011,49.666,7.1876,99.2028,31.303
"TCGA-AG-3581-01A-01R-0821-07",20.2524,61.4724,6.5535,36.5556,27.1488
"TCGA-F5-6812-01A-11R-1830-07",17.5585,37.1363,3.5568,14.2541,123.4186
"TCGA-F5-6464-01A-11R-1736-07",26.2726,55.102,7.2803,65.0771,107.8679
"TCGA-DC-4745-01A-01R-A32Z-07",27.9682,103.7797,9.6317,90.9217,89.3368
"TCGA-AG-A036-01A-12R-A083-07",23.9154,74.4898,8.7177,75.6762,29.4387
"TCGA-AH-6644-01A-21R-1830-07",26.4873,53.2595,11.001,33.9024,63.6843
"TCGA-DY-A1DE-01A-11R-A155-07",20.8822,63.0897,10.5292,23.795,48.7702
"TCGA-AH-6544-01A-11R-1830-07",16.591,63.2943,7.1582,80.4259,10.7288
"TCGA-AG-A014-01A-02R-A002-07",12.4037,56.145,6.5495,175.1153,9.8618
"TCGA-AF-6655-01A-11R-1830-07",28.263,57.7013,10.8084,93.8149,44.7425
"TCGA-AG-3575-01A-01R-0821-07",40.4812,51.4866,15.6175,444.8683,13.7486
"TCGA-AG-3887-01A-01R-1119-07",21.1915,69.6069,9.4261,47.9714,37.7301
"TCGA-AG-A016-01A-01R-A002-07",16.5173,63.2684,7.5059,210.7356,18.0501
"TCGA-AF-3911-01A-01R-1736-07",30.3659,68.9905,6.8603,60.508,45.196
"TCGA-F5-6861-01A-11R-1928-07",26.14,64.7641,13.9466,89.1396,44.2547
"TCGA-AG-A02N-01A-11R-A083-07",26.2938,61.3674,9.532,200.2791,7.4119
"TCGA-AG-3728-01A-01R-0905-07",6.0894,41.5198,3.0656,61.8962,11.3745
"TCGA-AG-3612-01A-01R-0826-07",18.2973,66.6939,4.5842,76.731,28.1021
"TCGA-DY-A1H8-01A-21R-A155-07",8.6509,34.3352,6.8948,29.4349,14.7583
"TCGA-AG-A023-01A-01R-A00A-07",13.0512,41.1389,7.3738,133.2647,42.5803
"TCGA-AG-3599-01A-02R-0826-07",21.9783,64.6132,10.9252,172.065,17.7783
"TCGA-DC-5869-01A-01R-1660-07",41.2882,102.4906,11.6041,80.1219,72.1152
"TCGA-CL-5917-01A-11R-1660-07",35.595,100.0179,9.3178,109.0616,37.2591
"TCGA-DT-5265-01A-21R-1830-07",21.9154,38.6447,7.2775,45.2127,90.7046
