,Y,X
TCGA.CJ.6028,0.97640848,1
TCGA.CJ.6031,0.98674907,1
TCGA.CJ.6032,0.98143585,1
TCGA.CW.5583,0.98315509,1
TCGA.CW.5588,0.9602828,1
TCGA.CW.5590,0.98921755,1
TCGA.CW.6093,0.99449558,1
TCGA.CW.6097,0.94405769,1
TCGA.CZ.4853,0.94475686,1
TCGA.CZ.4854,0.93135244,1
TCGA.CZ.4856,0.983414,1
TCGA.CZ.4857,0.93540695,1
TCGA.CZ.4858,0.64566309,1
TCGA.CZ.4859,0.96299283,1
TCGA.CZ.4860,0.46708432,1
TCGA.CZ.4861,0.684906,1
TCGA.CZ.4862,0.913725,1
TCGA.CZ.4866,0.77663274,1
TCGA.CZ.5459,0.94241236,1
TCGA.CZ.5460,0.97289535,1
TCGA.CZ.5464,0.96700655,1
TCGA.DV.5565,0.99820878,1
TCGA.DV.5566,0.95339367,1
TCGA.DV.5567,0.97839144,1
TCGA.DV.5568,0.98949251,1
TCGA.DV.5569,0.97477663,1
TCGA.DV.5573,0.90889987,1
TCGA.DV.5574,0.99036084,1
TCGA.DV.5575,0.97467299,1
TCGA.DV.5576,0.98211837,1
TCGA.DV.A4VX,0.48581736,1
TCGA.DV.A4VZ,0.94762335,1
TCGA.EU.5904,0.99531205,1
TCGA.EU.5905,0.95691956,1
TCGA.EU.5906,0.98567991,1
TCGA.EU.5907,0.87344058,1
TCGA.G6.A5PC,0.78621632,1
TCGA.G6.A8L6,0.99650262,1
TCGA.G6.A8L7,0.87262694,1
TCGA.G6.A8L8,0.9927884,1
TCGA.GK.A6C7,0.99591984,1
TCGA.MM.A563,0.98597398,1
TCGA.MM.A564,0.99581653,1
TCGA.MM.A84U,0.94387914,1
TCGA.MW.A4EC,0.95241606,1
TCGA.T7.A92I,0.06253813,1
