"","Row.names","ENSG00000167196.14","sample_type","patient","project_id","fc"
"161","TCGA-A7-A3J0-01A-11R-A213-07","7.9677","Primary Tumor","TCGA-A7-A3J0","TCGA-BRCA","1.38573961091278"
"162","TCGA-A7-A3J1-01A-11R-A213-07","7.5213","Primary Tumor","TCGA-A7-A3J1","TCGA-BRCA","1.38573961091278"
"163","TCGA-A7-A3RF-01A-11R-A22K-07","8.2321","Primary Tumor","TCGA-A7-A3RF","TCGA-BRCA","1.38573961091278"
"164","TCGA-A7-A425-01A-11R-A24H-07","6.1621","Primary Tumor","TCGA-A7-A425","TCGA-BRCA","1.38573961091278"
"165","TCGA-A7-A426-01A-22R-A24H-07","7.6277","Primary Tumor","TCGA-A7-A426","TCGA-BRCA","1.38573961091278"
"166","TCGA-A7-A4SA-01A-11R-A266-07","10.6037","Primary Tumor","TCGA-A7-A4SA","TCGA-BRCA","1.38573961091278"
"167","TCGA-A7-A4SB-01A-21R-A266-07","10.4232","Primary Tumor","TCGA-A7-A4SB","TCGA-BRCA","1.38573961091278"
"168","TCGA-A7-A4SC-01A-12R-A266-07","10.4656","Primary Tumor","TCGA-A7-A4SC","TCGA-BRCA","1.38573961091278"
"169","TCGA-A7-A4SD-01A-11R-A266-07","7.8081","Primary Tumor","TCGA-A7-A4SD","TCGA-BRCA","1.38573961091278"
"170","TCGA-A7-A4SE-01A-11R-A266-07","8.9977","Primary Tumor","TCGA-A7-A4SE","TCGA-BRCA","1.38573961091278"
"171","TCGA-A7-A4SF-01A-11R-A266-07","6.9322","Primary Tumor","TCGA-A7-A4SF","TCGA-BRCA","1.38573961091278"
"172","TCGA-A7-A56D-01A-11R-A27Q-07","2.7966","Primary Tumor","TCGA-A7-A56D","TCGA-BRCA","1.38573961091278"
"173","TCGA-A7-A5ZV-01A-11R-A28M-07","8.3182","Primary Tumor","TCGA-A7-A5ZV","TCGA-BRCA","1.38573961091278"
"174","TCGA-A7-A5ZW-01A-12R-A29R-07","9.7895","Primary Tumor","TCGA-A7-A5ZW","TCGA-BRCA","1.38573961091278"
"175","TCGA-A7-A5ZX-01A-12R-A29R-07","9.5176","Primary Tumor","TCGA-A7-A5ZX","TCGA-BRCA","1.38573961091278"
"176","TCGA-A7-A6VV-01A-22R-A33J-07","10.6255","Primary Tumor","TCGA-A7-A6VV","TCGA-BRCA","1.38573961091278"
"177","TCGA-A7-A6VW-01A-21R-A33J-07","10.9273","Primary Tumor","TCGA-A7-A6VW","TCGA-BRCA","1.38573961091278"
"178","TCGA-A7-A6VX-01A-12R-A33J-07","11.2798","Primary Tumor","TCGA-A7-A6VX","TCGA-BRCA","1.38573961091278"
"179","TCGA-A7-A6VY-01A-12R-A33J-07","5.8228","Primary Tumor","TCGA-A7-A6VY","TCGA-BRCA","1.38573961091278"
"180","TCGA-A8-A06N-01A-11R-A00Z-07","13.6989","Primary Tumor","TCGA-A8-A06N","TCGA-BRCA","1.38573961091278"
"181","TCGA-A8-A06O-01A-11R-A00Z-07","9.3351","Primary Tumor","TCGA-A8-A06O","TCGA-BRCA","1.38573961091278"
"182","TCGA-A8-A06P-01A-11R-A00Z-07","9.8745","Primary Tumor","TCGA-A8-A06P","TCGA-BRCA","1.38573961091278"
"183","TCGA-A8-A06Q-01A-11R-A034-07","12.4808","Primary Tumor","TCGA-A8-A06Q","TCGA-BRCA","1.38573961091278"
"184","TCGA-A8-A06R-01A-11R-A00Z-07","8.0373","Primary Tumor","TCGA-A8-A06R","TCGA-BRCA","1.38573961091278"
"185","TCGA-A8-A06T-01A-11R-A00Z-07","18.188","Primary Tumor","TCGA-A8-A06T","TCGA-BRCA","1.38573961091278"
"186","TCGA-A8-A06U-01A-11R-A00Z-07","8.3252","Primary Tumor","TCGA-A8-A06U","TCGA-BRCA","1.38573961091278"
"187","TCGA-A8-A06X-01A-21R-A00Z-07","18.0392","Primary Tumor","TCGA-A8-A06X","TCGA-BRCA","1.38573961091278"
"188","TCGA-A8-A06Y-01A-21R-A00Z-07","6.8425","Primary Tumor","TCGA-A8-A06Y","TCGA-BRCA","1.38573961091278"
"189","TCGA-A8-A06Z-01A-11R-A00Z-07","6.3118","Primary Tumor","TCGA-A8-A06Z","TCGA-BRCA","1.38573961091278"
"190","TCGA-A8-A075-01A-11R-A084-07","7.324","Primary Tumor","TCGA-A8-A075","TCGA-BRCA","1.38573961091278"
"191","TCGA-A8-A076-01A-21R-A00Z-07","11.7137","Primary Tumor","TCGA-A8-A076","TCGA-BRCA","1.38573961091278"
